town,county,acs_population,future_livability_score,investor_opportunity_score,essential_needs_score,median_household_income,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,future_lane,missing_needs
Kittery,York,10473,61.72,54.77,54.3,93728.0,6.36,12.07,26.9,17.74,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
South Oxford UT,Oxford,561,61.71,33.86,45.13,77841.0,8.2,3.69,24.6,14.62,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Naples,Cumberland,3985,61.63,40.59,45.77,78188.0,9.51,3.27,23.29,13.93,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Greenwood,Oxford,781,61.6,33.34,44.44,76146.0,8.68,3.17,23.94,13.96,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Oakland,Kennebec,6309,61.51,45.66,45.95,77813.0,8.07,5.62,18.21,17.35,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Surry,Hancock,1836,61.44,41.33,44.58,74508.0,7.03,2.02,30.94,15.41,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Livermore,Androscoggin,1868,61.17,38.9,43.47,70441.0,8.04,2.16,24.79,15.85,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Rome,Kennebec,1215,61.11,33.49,44.53,77639.0,10.34,0.0,24.69,15.83,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Jay,Franklin,4657,61.0,37.89,43.09,70238.0,9.79,1.94,19.3,15.53,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Newry,Oxford,177,60.9,30.23,43.01,67000.0,3.39,0.0,42.37,18.08,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Alfred,York,3125,60.87,43.42,49.91,82321.0,9.03,5.6,25.38,14.46,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
South Bristol,Lincoln,1069,60.72,34.2,43.42,69211.0,7.6,0.82,30.68,14.97,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Whitefield,Lincoln,2157,60.6,42.04,46.66,73875.0,7.14,2.62,29.07,18.44,"selective housing, local services, outdoor economy, and community infrastructure","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Acton,York,2721,60.52,43.1,49.36,78750.0,7.82,4.5,26.17,18.82,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Wiscasset,Lincoln,3874,60.45,42.41,47.02,71118.0,5.75,2.59,27.98,23.89,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Belmont,Waldo,876,60.44,34.74,43.19,61250.0,4.27,3.59,33.68,15.3,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Mechanic Falls,Androscoggin,3134,60.44,35.27,40.43,69914.0,9.16,1.12,16.4,17.66,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Waldo,Waldo,926,60.39,26.14,35.09,71458.0,10.37,1.06,12.2,10.04,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Milford,Penobscot,3095,60.23,43.24,52.72,85111.0,5.33,12.45,17.22,21.58,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Cranberry Isles,Hancock,196,60.2,28.74,49.24,65000.0,4.59,15.48,19.9,8.67,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
East Central Franklin UT,Franklin,1074,60.2,33.25,43.35,63344.0,6.05,1.5,27.0,20.86,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Brooklin,Hancock,869,60.18,33.72,45.3,68750.0,7.72,2.86,24.74,17.95,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Newburgh,Penobscot,1475,60.15,33.87,46.88,76750.0,11.7,2.25,21.42,13.27,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Veazie,Penobscot,1847,60.13,43.26,52.03,78229.0,7.46,10.07,21.39,15.48,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing"
Winter Harbor,Hancock,493,60.13,34.63,51.4,86250.0,3.87,3.11,47.26,20.69,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Blue Hill,Hancock,2813,60.11,45.76,52.6,80377.0,4.71,11.7,29.61,16.48,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Lincolnville,Waldo,2396,60.08,42.47,48.91,81928.0,11.81,1.58,26.0,13.56,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Sumner,Oxford,845,59.85,33.4,42.7,57750.0,5.8,3.5,29.7,13.85,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
East Hancock UT,Hancock,42,59.83,32.78,49.16,82857.0,9.52,0.0,42.86,9.52,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Caratunk,Somerset,101,59.82,33.96,46.83,73235.0,0.0,0.0,58.42,22.77,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Greene,Androscoggin,4417,59.81,42.36,51.67,98093.0,13.87,6.6,15.1,9.97,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Otisfield,Oxford,1951,59.68,43.94,52.42,84271.0,10.3,4.73,23.68,17.99,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Sweden,Oxford,537,59.65,32.03,44.65,73750.0,14.71,0.0,20.3,7.45,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Winthrop,Kennebec,6191,59.63,51.57,53.24,86470.0,12.89,3.89,23.42,13.99,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Clifton,Penobscot,1111,59.62,33.73,46.98,70313.0,9.18,3.36,21.15,18.27,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Littleton,Aroostook,887,59.53,33.89,48.17,74219.0,8.86,6.65,18.49,15.9,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Knox,Waldo,825,59.5,30.32,41.94,64821.0,8.56,2.56,17.33,17.58,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Marshfield,Washington,499,59.44,25.93,43.11,62500.0,9.05,0.0,20.84,20.64,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Verona Island,Hancock,481,59.42,26.22,42.3,61607.0,11.43,1.7,24.53,5.82,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Monroe,Waldo,1001,59.4,36.12,50.97,81300.0,11.29,3.79,22.58,16.08,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Dresden,Lincoln,1645,59.38,42.64,50.11,74844.0,9.33,5.68,24.8,14.22,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Sanford,York,22247,59.31,56.15,54.47,72524.0,10.29,5.93,20.77,21.56,"balanced residential growth, local retail, and commuter/workforce services","accessible housing, ADA routes, paratransit, and healthcare coordination; dense mixed-use housing and frequent local mobility options"
Mariaville,Hancock,724,59.3,31.38,43.93,66027.0,9.94,6.19,17.68,8.29,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Porter,Oxford,1746,59.29,37.14,43.38,60417.0,9.76,1.89,20.45,15.18,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Dyer Brook,Aroostook,275,59.21,24.55,42.12,73409.0,6.91,6.9,12.36,17.09,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Northport,Waldo,1621,59.15,46.51,50.17,73523.0,5.93,2.85,39.17,17.93,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Brownfield,Oxford,1830,59.14,37.22,43.97,60889.0,8.09,5.1,18.47,15.3,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Montville,Waldo,907,59.05,33.22,46.11,65735.0,10.69,4.02,21.83,10.69,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Chester,Penobscot,598,59.0,31.57,44.26,64500.0,9.03,2.75,18.56,18.23,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Glenwood,Aroostook,6,59.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs
North Franklin UT,Franklin,13,59.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs
Wyman UT,Franklin,14,59.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs
Camden,Knox,5242,58.93,55.37,53.37,82344.0,8.95,6.43,38.0,9.87,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Peru,Oxford,1501,58.79,39.95,47.55,66827.0,9.21,2.89,21.65,19.65,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Masardis,Aroostook,258,58.78,23.36,39.43,67650.0,11.24,0.97,14.34,12.4,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Arrowsic,Sagadahoc,597,58.76,40.34,55.62,99107.0,16.08,1.19,31.83,8.21,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
New Sharon,Franklin,1550,58.73,40.11,46.88,63889.0,9.61,4.47,23.81,12.19,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Bar Harbor,Hancock,5244,58.64,51.91,53.75,77180.0,10.1,7.91,25.11,12.94,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Windsor,Kennebec,2690,58.63,35.21,41.57,63178.0,7.52,4.76,14.35,17.62,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Sebago,Cumberland,2073,58.55,38.95,47.29,78438.0,13.69,1.19,17.37,14.09,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Talmadge,Washington,67,58.45,29.45,52.6,85577.0,10.45,8.82,16.42,14.93,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Thorndike,Waldo,1403,58.4,33.47,48.97,78438.0,6.49,16.32,11.69,8.05,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Fairfield,Somerset,6519,58.39,44.3,45.46,64101.0,10.87,2.65,17.72,15.77,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Ellsworth,Hancock,8657,58.37,52.46,55.09,77375.0,9.26,12.2,22.1,13.64,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing"
Hancock,Hancock,2518,58.18,44.89,51.48,72285.0,8.18,2.53,30.22,21.88,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
St. Agatha,Aroostook,842,58.15,37.34,51.76,75417.0,10.69,3.76,27.32,14.96,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Medford,Piscataquis,222,58.04,27.29,46.92,65476.0,11.26,0.76,20.72,18.47,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Vienna,Kennebec,536,58.02,34.82,50.28,75481.0,13.25,1.23,20.52,16.98,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Winterville,Aroostook,248,57.79,27.47,43.07,47500.0,6.85,3.57,30.65,10.48,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Boothbay,Lincoln,3102,57.74,44.57,48.69,60320.0,6.79,3.12,35.43,15.91,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation"
Winslow,Kennebec,8023,57.74,51.53,53.8,70917.0,10.81,5.75,21.76,17.96,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Parsonsfield,York,1715,57.72,39.93,49.08,72045.0,12.04,4.04,17.96,14.55,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Wallagrass,Aroostook,514,57.7,35.72,43.8,48833.0,3.5,0.0,39.49,21.4,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Deblois,Washington,148,57.63,26.55,43.31,52083.0,8.78,0.0,25.68,17.57,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
West Forks,Somerset,125,57.63,16.57,23.68,0.0,3.2,0.0,18.4,10.4,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs
Stetson,Penobscot,1151,57.52,32.75,47.79,76023.0,10.35,5.84,14.16,16.62,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Dennistown,Somerset,134,57.51,20.86,26.79,0.0,0.0,0.0,34.33,10.45,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Woodstock,Oxford,1233,57.48,33.89,47.3,63015.0,11.54,0.42,23.28,16.83,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Pittston,Kennebec,3093,57.46,44.38,56.16,86614.0,10.18,9.38,18.53,22.15,"selective housing, local services, outdoor economy, and community infrastructure","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Jackson,Waldo,567,57.45,33.38,48.62,75167.0,13.76,2.02,17.46,13.93,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Poland,Androscoggin,5954,57.35,49.33,53.23,85557.0,16.64,1.09,17.75,14.48,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Stoneham,Oxford,271,57.32,31.88,48.79,63750.0,7.38,0.0,40.96,16.61,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Enfield,Penobscot,1462,57.3,36.84,50.52,62667.0,6.84,3.51,27.98,23.96,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Casco,Cumberland,3696,57.28,43.79,51.4,69313.0,10.98,1.44,26.33,19.61,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Codyville UT,Washington,14,57.28,32.82,44.29,45208.0,0.0,0.0,85.71,14.29,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Gardiner,Kennebec,6088,57.26,50.73,54.71,71782.0,10.45,8.97,19.73,16.43,"selective housing, local services, outdoor economy, and community infrastructure","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Square Lake UT,Aroostook,751,57.21,41.23,55.82,90179.0,6.07,4.36,39.15,31.03,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Sabattus,Androscoggin,5116,57.19,48.17,49.41,59387.0,8.8,2.29,24.39,22.57,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Friendship,Knox,1213,57.04,40.24,53.52,75625.0,9.98,3.8,37.26,12.7,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Greenbush,Penobscot,1378,56.97,32.95,47.25,60321.0,10.21,0.9,19.09,23.0,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Wade,Aroostook,244,56.91,28.12,43.03,41818.0,4.17,0.83,34.84,20.49,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Seboeis,Penobscot,12,56.9,31.16,40.62,32500.0,0.0,0.0,66.67,8.33,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Vassalboro,Kennebec,4592,56.87,44.43,54.76,72300.0,12.02,5.1,20.27,18.74,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Solon,Somerset,963,56.82,36.35,51.89,69205.0,10.68,1.4,23.88,23.36,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Vinalhaven,Knox,1216,56.81,42.38,52.29,72963.0,7.35,2.39,50.41,11.69,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Bucksport,Hancock,5016,56.78,51.5,53.73,64720.0,6.71,9.77,26.57,19.48,"selective housing, local services, outdoor economy, and community infrastructure","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Ripley,Somerset,436,56.73,26.98,47.48,64821.0,11.89,2.5,17.66,16.28,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Woodland,Aroostook,1196,56.66,32.19,46.42,64464.0,13.91,0.0,17.98,14.3,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Frye Island,Cumberland,34,56.65,33.86,47.64,61719.0,5.88,0.0,64.71,5.88,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Lincoln,Oxford,47,56.56,33.37,53.59,74167.0,4.26,3.85,40.43,29.79,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Thomaston,Knox,2769,56.54,44.86,49.73,56435.0,6.61,2.18,35.5,19.99,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Mercer,Somerset,718,56.53,36.82,52.2,71107.0,13.65,2.06,25.91,12.26,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
New Canada,Aroostook,449,56.46,28.62,51.25,68750.0,9.13,6.29,16.93,21.83,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Anson,Somerset,2331,56.45,38.19,46.43,52474.0,8.75,3.97,18.28,19.76,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development"
Castle Hill,Aroostook,281,56.37,32.97,49.79,54250.0,4.27,3.55,44.84,15.66,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Chesterville,Franklin,1397,56.37,30.61,44.11,61635.0,12.03,2.16,15.03,13.89,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
Freedom,Waldo,670,56.33,35.66,51.69,64861.0,11.49,3.38,22.09,17.91,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Farmingdale,Kennebec,3017,56.32,44.28,54.36,71635.0,13.77,4.31,22.77,12.8,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Southport,Lincoln,550,56.18,43.27,56.0,89000.0,5.48,10.26,51.82,14.55,"senior services, healthcare access, downsizing housing, and home-care businesses","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Cornville,Somerset,1419,56.17,37.34,56.32,79926.0,12.21,10.16,18.82,14.18,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; reliable non-car transportation, local services, and car-light housing; regional shared services and connectivity to larger service hubs"
Woolwich,Sagadahoc,3158,56.17,49.25,59.56,102175.0,13.33,5.48,33.91,20.52,"senior services, healthcare access, downsizing housing, and home-care businesses","affordable housing, workforce stability, and anti-displacement support; age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Hallowell,Kennebec,2592,56.01,46.46,54.38,68398.0,7.81,9.54,33.18,14.03,"senior services, healthcare access, downsizing housing, and home-care businesses","reliable non-car transportation, local services, and car-light housing; age-friendly housing, home care, clinics, and senior transportation"
Bath,Sagadahoc,8815,55.98,53.18,55.58,69390.0,12.37,7.29,25.23,12.62,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support"
Corinth,Penobscot,2990,55.96,39.51,48.95,64229.0,11.44,4.13,16.29,17.27,"selective housing, local services, outdoor economy, and community infrastructure","accessible housing, ADA routes, paratransit, and healthcare coordination"
Canton,Oxford,1191,55.93,35.78,49.39,52458.0,8.37,4.13,27.71,16.83,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Carmel,Penobscot,2941,55.92,43.72,55.63,82188.0,13.6,5.41,16.49,18.29,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; accessible housing, ADA routes, paratransit, and healthcare coordination"
Waldoboro,Lincoln,5253,55.78,51.29,55.84,69107.0,9.63,10.57,22.62,17.8,"affordable housing, mobility services, clinics, and workforce support","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination"
Garfield,Aroostook,77,55.77,29.9,48.93,45625.0,1.3,2.08,31.17,37.66,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Lakeville,Penobscot,99,55.77,33.21,52.52,65625.0,6.06,0.0,41.41,27.27,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Medway,Penobscot,996,55.72,34.52,49.33,55982.0,11.4,1.95,22.99,17.07,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","accessible housing, ADA routes, paratransit, and healthcare coordination; higher-wage job access and local workforce development; regional shared services and connectivity to larger service hubs"
Gouldsboro,Hancock,1615,55.64,46.78,52.3,60873.0,7.18,1.46,38.82,21.61,"senior services, healthcare access, downsizing housing, and home-care businesses","age-friendly housing, home care, clinics, and senior transportation; accessible housing, ADA routes, paratransit, and healthcare coordination"
Mars Hill,Aroostook,1398,55.52,37.61,54.64,65273.0,9.56,8.14,24.54,17.62,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","reliable non-car transportation, local services, and car-light housing; accessible housing, ADA routes, paratransit, and healthcare coordination; regional shared services and connectivity to larger service hubs"
Etna,Penobscot,1252,55.38,35.65,53.17,72379.0,15.5,2.03,18.45,14.92,"affordable housing, mobility services, clinics, and workforce support","affordable housing, workforce stability, and anti-displacement support; regional shared services and connectivity to larger service hubs"
